0.000000 -1.000000 -1.000000
0.034483 -1.000000 -1.000000
0.068966 -1.000000 -1.000000
0.103448 -1.000000 -1.000000
0.137931 -0.999999 -1.000000
0.172414 -0.999996 -1.000000
0.206897 -0.999984 -0.999996
0.241379 -0.999935 -0.999957
0.275862 -0.999743 -0.999606
0.310345 -0.998981 -0.997289
0.344828 -0.995958 -0.985852
0.379310 -0.984039 -0.943644
0.413793 -0.938070 -0.827133
0.448276 -0.774911 -0.586546
0.482759 -0.331120 -0.214847
0.517241 0.331120 0.214847
0.551724 0.774911 0.586546
0.586207 0.938070 0.827133
0.620690 0.984039 0.943644
0.655172 0.995958 0.985852
0.689655 0.998981 0.997289
0.724138 0.999743 0.999606
0.758621 0.999935 0.999957
0.793103 0.999984 0.999996
0.827586 0.999996 1.000000
0.862069 0.999999 1.000000
0.896552 1.000000 1.000000
0.931034 1.000000 1.000000
0.965517 1.000000 1.000000
1.000000 1.000000 1.000000
